ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Human	4631405K08Rik	lncRNA	enterovirus 71 (EV71)	hand-foot-mouth disease (HFMD)	human rhabdomyosarcoma (RD) cells	Enterovirus 71 (EV71) treatment	downregulated	30314355
2	Human	A2M-AS1	lncRNA	hypoxia/reoxygenation (H/R)	myocardial ischemia/reperfusion (I/R) injury (MIRI)	human neonatal cardiomyocytes	hypoxia/reoxygenation (H/R) treatment	LncRNA A2M-AS1 lessens the injury of cardiomyocytes caused by hypoxia and reoxygenation via regulating IL1R2.	33057899
3	Human	AC003092.1	lncRNA	temozolomide (TMZ)	glioblastoma multiforme (GBM)	U87 cells; U251 cells	temozolomide (TMZ) treatment	lncRNA AC0030921 expression was significantly down- regulated in both U87TR and U251TR cells	30442884
4	Human	AC005523.2-001	lncRNA	calcium oxalate monohydrate (COM)	renal injury	HK-2?cells	calcium oxalate monohydrate treatment	downregulated	29947995
5	Human	AC005550.3	lncRNA	homocysteine (Hcy)	homocysteine (HCY)-induced vascular endothelial injury	human umbilical vein endothelial cells (HUVECs)	homocysteine (HCY) treatment	downregulated	30093949
6	Human	AC006050.3-003	lncRNA	cisplatin (DDP)	lung squamous cell carcinoma (LSQCC)	advanced lung squamous cell carcinoma patients	cisplatin treatment	downregulated	25250788
7	Human	AC006262.5	lncRNA	gemcitabine (GEM)	ancreatic cancer (PC)	SW1990 cells	gemcitabine (GEM) treatment	upregulated	30113217
8	Human	AC007283.5	lncRNA	influenza A virus (IAV)	influenza A virus (IAV) infection	human lung epithelial A549 cells	influenza A/Puerto Rico/8/34 infection	upregulated	30669933
9	Human	AC007952.1.1-3:1	lncRNA	nigericin	pancreatic cancer (PC)	PANC-4 cells	nigericin treatment	downregulated	32850392
10	Human	AC013451.2	lncRNA	N-retinylidene-N-retinylethanolamine (A2E)	retinitis pigmentosa	human retinal pigment epithelium cells	N-retinylidene-N-retinylethanolamine (A2E) treatment	upregulated	32326576
11	Human	AC015849.2	lncRNA	influenza A virus (IAV)	influenza A virus (IAV) infection	human lung epithelial A549 cells	influenza A/Puerto Rico/8/34 infection	upregulated	30669933
12	Human	AC023115.3	lncRNA	cisplatin (DDP)	glioblastoma multiforme (GBM)	human glioblastoma cells	cisplatin treatment	upregulated	28499919
13	Human	AC026904.1	lncRNA	TGF-¦Â	breast cancer	MCF-7 cells	TGF-¦Â treatment	"TGF-¦Â induced genome-wide changes in lncRNA levels in breast cancer cells, among which AC0269041 and UCA1 were highly expressed in metastatic breast cancer and closely associated with poor prognosis"	29774079
14	Human	AC068039.4	lncRNA	hypoxia	hypoxic pulmonary hypertension (HPH)	pulmonary artery smooth muscle cells (PASMCs)	hypoxia treatment	"Consistent with microarray analysis, quantitative PCR verified that AC068039.4 was obviously upregulated in hypoxia-induced PASMCs."	33026218
15	Human	AC068580.3	lncRNA	N-retinylidene-N-retinylethanolamine (A2E)	retinitis pigmentosa	human retinal pigment epithelium cells	N-retinylidene-N-retinylethanolamine (A2E) treatment	upregulated	32326576
16	Human	AC078883.3	lncRNA	cisplatin (DDP)	non-small cell lung cancer (NSCLC)	"lung tissues, A549 and H460 cells"	?cisplatin treatment	?the low expression of lncRNA-AC0788833 contributed to the development of chemoresistance against cisplatin	31111480
17	Human	AC092620.3	lncRNA	hexavalent chromium [Cr(VI)]	DNA damage	Cr(VI)-treated 16HBE cells	Cr(VI) exposure	dysregulated	30476843
18	Human	AC092620.3	lncRNA	hexavalent chromium [Cr(VI)]	DNA damage	16HBE cells	hexavalent chromium [Cr(VI)] treatment	upregulated	30476843
19	Human	AC105052.4	lncRNA	N-retinylidene-N-retinylethanolamine (A2E)	retinitis pigmentosa	human retinal pigment epithelium cells	N-retinylidene-N-retinylethanolamine (A2E) treatment	downregulated	32326576
20	Human	AC133485	lncRNA	"2, 3, 3', 4, 4', 5 - hexachlorobiphenyl (PCB 156)"	nonalcoholic fatty liver disease (NAFLD)	L-02 cells	"2, 3, 3', 4, 4', 5 - hexachlorobiphenyl (PCB 156) treatment"	downregulated	31514003
21	Human	AC145676.2.1-6	lncRNA	mycobacterium tuberculosis (Mtb)	tuberculosis (TB)	whole blood samples	Mycobacterium tuberculosis (MTB) infection	downregulated	31028876
22	Human	ADAMTS9-AS2	lncRNA	tamoxifen (TAM)	breast cancer	Human MCF-7 cells	Tamoxifen (TAM) treatment	downregulated	30840279
23	Human	ADAMTS9-AS2	lncRNA	cisplatin (DDP)	gastric cancer (GC)	SGC7901 cells; BGC823C cells	cisplatin treatment	downregulated	32516127
24	Human	ADAMTS9-AS2	lncRNA	temozolomide (TMZ)	glioblastoma multiforme (GBM)	"GBM cell lines (T98G, U118)"	temozolomide (TMZ) treatment	upregulated	31632968
25	Human	AF085935	lncRNA	chrysin	hepatocellular carcinoma (HCC)	HepG2 cells	chrysin treatment	chrysin against HCC through the suppression of the GPC3/SULF2 axis along with the downregulated of lncRNA-AF085935 expression.	33076548
26	Human	AF085935	lncRNA	epigallocatechin-3-gallate (EGCG) and metformin	hepatocellular carcinoma (HCC)	HepG2 cells	epigallocatechin-3-gallate (EGCG) and metformin treatment	downregulated	30710234
27	Human	AF086415	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	dysregulated	24379026
28	Human	AF086415	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	downregulated	24379026
29	Human	AF131217.1	lncRNA	laminar shear stress	atherosclerosis (AS)	human umbilical vein endothelial cells (HUVECs)	Laminar shear stress induce	upregulated	30905197
30	Human	AF131217.1	lncRNA	tumor necrosis factor alpha (TNF-¦Á) 	atherosclerosis (AS)	human umbilical vein endothelial cells (HUVECs)	tumor necrosis factor alpha (TNF-¦Á) treatment	upregulated	30905197
31	Human	AF147447	lncRNA	helicobacter pylori (H. pylori)	gastric cancer (GC)	tumor tissues	H. pylori treatment	downregulated	27835575
32	Human	AFAP1-AS1	lncRNA	trastuzumab	breast cancer	SKBR-3 cells; BT474 cells	trastuzumab treatment	upregulated	32020881
33	Human	AFAP1-AS1	lncRNA	oridonin	epithelial-mesenchymal transition (EMT)	?BxPC-3 and PANC-1 cells	oridonin treatment	"the combination of oridonin and siAFAP1-AS1 inhibited pancreatic cancer cell proliferation, induced apoptosis, arrested cell cycle progression, prevented the migration, regulated EMT-related protein expression in BxPC-3 and PANC-1 cells, and inhibited pancreatic cancer cell tumorigenicity and EMT in nude mice."	31314060
34	Human	AFAP1-AS1	lncRNA	cucurbitacin B (CuB)	pancreatic cancer (PC)	BxPC-3 cells; HPAC cells	cucurbitacin B (CuB) treatment	CuB inhibits proliferation of PC cells by downregulating AFAP1-AS1 expression.	30206930
35	Human	AFAP1-AS1	lncRNA	cucurbitacin B (CuB)	pancreatic cancer (PC)	"Human PC cell lines, ASPC©\1, BxPC©\3, HPAC, MiaPaCa©\2"	cucurbitacin B (CuB) treatment	CuB-induced high miR-146b-5p expression and inhibited the expression of AFAP1-AS1.	30206930
36	Human	AFAP1-AS1	lncRNA	oridonin	pancreatic cancer (PC)	BxPC-3 and PANC-1 cells	oridonin treatment	"the combination of oridonin and siAFAP1-AS1 inhibited pancreatic cancer cell proliferation, induced apoptosis, arrested cell cycle progression, prevented the migration, regulated EMT-related protein expression in BxPC-3 and PANC-1 cells, and inhibited pancreatic cancer cell tumorigenicity and EMT in nude mice."	31314060
37	Human	AGAP2-AS1	lncRNA	trastuzumab	breast cancer	SKBR-3 cells; BT474 cells	trastuzumab treatment	upregulated	30157918
38	Human	AIRN	lncRNA	gonadotropin-releasing hormone agonist (GnRHa; Buserelin)	infertility	Infertility patients testicular biopsies	treat with GnRHa for 6 months	upregulated	28505621
39	Human	AK001796	lncRNA	resveratrol	lung cancer	lung cancer tissues	resveratrol (RS) treatment	reduced lncRNA AK001796 level potentially impaired the inhibitory effect of resveratrol on cell proliferation	25888808
40	Human	AK021021	lncRNA	baicalin (BAI)	atherosclerosis (AS)	vascular smooth muscle cells (VSMCs)	baicalin (BAI) treatment	upregulated	26885187
41	Human	AK027294	lncRNA	glycyrrhiza glabra	nasopharyngeal carcinoma (NPC)	C666-1 cells	glycyrrhiza glabra treatment	downregulated of AK027294 contributes to the anti-cancer function of G. glabra.	31589096
42	Human	AK027294	lncRNA	glycyrrhiza glabra	nasopharyngeal carcinoma (NPC)	C666-1 cells	Glycyrrhiza glabra treatment	AK027294 had a strongest downregulated upon G. glabra treatment.	31589096
43	Human	AK056098	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	dysregulated	24379026
44	Human	AK056098	lncRNA	curcumin (Cur)	nasopharyngeal carcinoma (NPC)	nasopharyngeal carcinoma (NPC) cells	curcumin treatment	upregulated	24379026
