ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Human	hsa-let-2b-5p	miRNA	IL-1¦Â	osteoarthritis (OA)	human Osteoarthritis Chondrocytes	IL-1¦Â treatment	dysregulated	27152662
2	Human	hsa-let-7	miRNA	microsciadia	breast cancer	MDA-MB-231 cells	microsciadia treatment	upregulated	32603285
3	Human	hsa-let-7	miRNA	arsenite	tumorigenesis	RWPE-1 human prostate epithelial line	arsenite exposure	downregulated	24431212
4	Human	hsa-let-7	miRNA	3-acetyl-11-keto-¦Â-boswellic acid (AKBA)	colorectal cancer (CRC)	HCT116 cells£»HT29 cells£»SW480 cells£» SW620 cells	3-acetyl-11-keto-¦Â-boswellic acid (AKBA)	upregulated	22983985
5	Human	hsa-let-7	miRNA	synthetic preimplantation factor (sPIF)	duchenne muscular dystrophy (DMD)	myoblast	Synthetic preimplantation factor (sPIF) treatment	downregulated	30692507
6	Human	hsa-let-7	miRNA	epstein-barr virus EBNA1 protein	EBV infection	nasopharyngeal carcinoma cell lines	EBNA1 treatment	downregulated	25031339
7	Human	hsa-let-7	miRNA	HT-3O sulfate (HT-3Os)	epithelial-mesenchymal transition (EMT)	IL-1¦Â-treated human umbilical endothelial cells (HUVEC) and human retinal endothelial cells (HREC)	HT-3O sulfate (HT-3Os) treatmment	upregulated	30725211
8	Human	hsa-let-7	miRNA	IL-1¦Â	epithelial-mesenchymal transition (EMT)	human umbilical endothelial cells (HUVEC) and human retinal endothelial cells (HREC)	interleukin-1¦Â (IL-1¦Â) treatment	downregulated	30725211
9	Human	hsa-let-7	miRNA	HT-3O sulfate (HT-3Os)	epithelial-mesenchymal transition (EMT)	human umbilical EC (HUVEC); human retinal EC (HREC)	HT-3O sulfate (HT-3Os) treatment	Exposure of HUVEC and HREC to IL-1¦Â alone led to a sig- nificant reduction of let-7 miRNA levels which were restored in the presence of HT-3Os.	30725211
10	Human	hsa-let-7	miRNA	H2O2	gastric cancer (GC)	GC cells	H2O2 treatment	Hsa-let-7 g miRNA increased the sensitivity of GC to oxidative stress by repression activation of DDR indirectly. Let-7 g improved the effects of X-rays on GC cells involving in DDR regulation as well.	25972194
11	Human	hsa-let-7	miRNA	phenformin	glioblastoma multiforme (GBM)	glioma stem cells (GSCs)	Phenformin treatment	upregulated	27486821
12	Human	hsa-let-7	miRNA	secretin	human primary sclerosing cholangitis (PSC)	"PSC liver tissue biopsies, serum, and bile"	secretin? treatment	downregulated	27115285
13	Human	hsa-let-7	miRNA	heme	hepatocellular carcinoma (HCC)	Huh?9 cells	heme treatment	upregulated	23538684
14	Human	hsa-let-7	miRNA	aspirin	lung cancer	A549 and H1299 cell lines	aspirin treatment	upregulated	30756509
15	Human	hsa-let-7	miRNA	tacrolimus or high glucose	new-onset diabetes after liver transplantation (NODALT)	human hepatocytes	tacrolimus or high glucose treatment	dysregulated	27458792
16	Human	hsa-let-7	miRNA	cisplatin (DDP)	non-small cell lung cancer (NSCLC)	human non-small cell lung cancer cells A549	cisplatin treatment	downregulated	28235063
17	Human	hsa-let-7	miRNA	ionizing radiation (IR)	non-small cell lung cancer (NSCLC)	human non-small cell lung cancer cells A549	2 Gy of irradiation once a week	downregulated	28235063
18	Human	hsa-let-7	miRNA	tankyrase inhibitor JW74	osteosarcoma (OS)	"OS cell lines (KPD, U2OS, and SaOS-2)"	JW74 treatment	upregulated	24403055
19	Human	hsa-let-7	miRNA	metformin (Met)	ovarian cancer (OC)	ovarian cancer cells	metformin treatment	upregulated	27775072
20	Human	hsa-let-7	miRNA	oxidized low density lipoprotein (ox-LDL)	oxidative stress	human endometrial cell-lines	oxidized low-density lipoprotein (ox-LDL) treatment	dysregulated	28499250
21	Human	hsa-let-7	miRNA	fractionated radiation	prostate cancer	Human Prostate Cancer Cells	radiation treatment	Tumor suppressor miR-34a and let-7 miRNAs were upregulated by fractionated radiation in radiosensitive LNCaP (p53 positive) and PC3 (p53-null) cells indicating	22827214
22	Human	hsa-let-7	miRNA	simvastatin	prostate cancer	human castration-resistant prostate cancer (CRPC) cells	simvastatin treatment	upregulated	28910332
23	Human	hsa-let-7	miRNA	TGF-¦Â1	Pancreatic ductal adenocarcinoma (PDAC)	Panc1 cells	?TGF-¦Â1 treatment	downregulated	21057545
24	Human	hsa-let-7	miRNA	metformin (Met)	type 2 diabetes mellitus (T2DM)	ARK2 and MCF-7 cells	metformin treatment	upregulated	27775072
25	Human	hsa-let-7	miRNA	cryptosporidium parvum	cryptosporidium parvum infection	"C. parvum oocysts,H69 cells;Non-immortalized normal human biliary epithelial cells (HIBEpiC)"	cryptosporidium parvum? infection	downregulated	20486857
26	Human	hsa-let-7	miRNA	cryptosporidium parvum	cryptosporidium parvum infection	"C. parvum oocysts,H69 cells;Non-immortalized normal human biliary epithelial cells (HIBEpiC)"	cryptosporidium parvum? infection	downregulated	20486857
27	Human	hsa-let-7	miRNA	sorafenib (SOR)	human immunodeficiency virus (HIV)-1 infection	Huh7 hepatoma cells	sorafenib treatment	downregulated	20347499
28	Human	hsa-let-7a	miRNA	low-dose ionizing radiation (LDIR)	stress response	human Epstein-Barr virus-infected B-cells (EBV-B)	low-dose ionizing radiation (LDIR) treatment	upregulated	26809544
29	Human	hsa-let-7a	miRNA	"sulforaphane, quercetin and GTC"	pancreatic ductal adenocarcinoma (PDAC)	BxPc-3 and MIA-PaCa2 and human hTERT-HPNE	"sulforaphane, quercetin and GTC complement treatment"	upregulated	25017900
30	Human	hsa-let-7a	miRNA	antidiabetic	glycemic control	ment-na?ve diabetic patients with poor metabolic control	12 months of antidiabetic treatment	upregulated	24937531
31	Human	hsa-let-7a	miRNA	granulocyte-macrophage colony stimulating factor (GM-CSF)	acute myeloid leukemia (AML)	"human myeloid leukemic cell line, AML-193"	GM-CSF treatment	downregulated	22015065
32	Human	hsa-let-7a	miRNA	lipopolysaccharide (LPS) and TGF-¦Â	alcoholic liver disease (ALD)	human hepatic stellate cells (HSCs)	lipopolysaccharide (LPS) and TGF-¦Â treatment	downregulated	28536261
33	Human	hsa-let-7a	miRNA	anacardic acid (AnAc)	anacardic acid (AnAc) activity	MCF-7 cells	anacardic acid (AnAc) treatment	upregulated	28886127
34	Human	hsa-let-7a	miRNA	high glucose-induced endothelial microparticles (EMPs)	apoptosis	human umbilical vein endothelial cells (HUVECs)	high glucose EMPs	downregulated	28942148
35	Human	hsa-let-7a	miRNA	oxidized low density lipoprotein (ox-LDL)	atherosclerosis (AS)	human umbilical vein endothelial cells (HUVECs)	oxidized low-density lipoprotein (ox-LDL) treatment	"let-7a, which directly targets the 3'-UTR of periostin mRNA. In addition, periostin overexpression partly reversed the biological effects of H19 knockdown in ox-LDL-treated HUVECs, which were almost recapitulated by let-7 overexpression."	31054453
36	Human	hsa-let-7a	miRNA	androgen	breast cancer	"MCF-7, MDA-MB-453 , MDA-MB-231"	androgen treatment	upregulated	24172884
37	Human	hsa-let-7a	miRNA	arsenic trioxide (ATO)	breast cancer	MCF-7 and SK-BR-3 cell lines	arsenic trioxide (ATO) treatment	upregulated	28980872
38	Human	hsa-let-7a	miRNA	benzo(a)pyrene (BaP)	breast cancer	MDA-MB-231 cells	benzo(a)pyrene (BaP) exposure	downregulated	30155724
39	Human	hsa-let-7a	miRNA	estradiol	breast cancer	MCF-7 cells	Estradiol treatment	upregulated	19528081
40	Human	hsa-let-7a	miRNA	metformin (Met)	breast cancer	MCF-7 cells	metformin?treatment	upregulated	21368581
41	Human	hsa-let-7a	miRNA	paclitaxel (PTX)	breast cancer	MCF-7 cells; MDA-MB-231 cells	paclitaxel treatment	downregulated	30019863
42	Human	hsa-let-7a	miRNA	paclitaxel (PTX)	breast cancer	BT-474 cells	paclitaxel treatment	upregulated	30019863
43	Human	hsa-let-7a	miRNA	nanoparticle (NP)	colorectal cancer (CRC)	Human colon cancer HCT-116 cells	Nanoparticle (NP) technology	"Administration of NP-siDCAMKL-1 into HCT116 xenografts resulted in tumor growth arrest, downregulated of proto-oncogene c-Myc and Notch-1 via let-7a and miR-144 miRNA-dependent mechanisms,"	21929751
44	Human	hsa-let-7a	miRNA	honeysuckle aqueous extract	dengue virus (DENV) infection	human blood	aqueous extract treatment	upregulated	28052239
45	Human	hsa-let-7a	miRNA	honeysuckle aqueous extract	dengue virus (DENV) infection	mouse blood	aqueous extract treatment	upregulated	28052239
46	Human	hsa-let-7a	miRNA	Rhein-8-O-¦Â-D-glucopyranoside (Rg)	diabetic nephropathy (DN)	human mesangial cells (HMCs)	Rhein-8-O-¦Â-D-glucopyranoside (Rg) treatment	Rg attenuated HG-induced apoptosis of HMCs by regulating the lincRNA ANRIL/let-7a/TGF-¦Â1/Smad signaling pathway	32256771
47	Human	hsa-let-7a	miRNA	acrolein	environmental pollutants	human umbilical vein endothelial cells	acrolein treatment	upregulated	24812010
48	Human	hsa-let-7a	miRNA	curcumin (Cur)	fat	esophageal cancer cell lines	curcumin treatment	downregulated	22363450
49	Human	hsa-let-7a	miRNA	urolithin A (UA)	hepatocellular carcinoma (HCC)	HepG2.2.15 cells	urolithin A treatment	upregulated	29742265
50	Human	hsa-let-7a	miRNA	honeysuckle (HS)	enterovirus 71 (EV71) infection	human muscle rhabdomyosarcoma RD cells	Honeysuckle treatment	"Moreover, honeysuckle-induced?let-7a?suppression of EV71 RNA and protein expression as well as viral replication were investigated both in vitro and in vivo."	33669264
51	Human	hsa-let-7a	miRNA	estradiol-17¦Â (E2)	inflammation	human macrophages	estradiol-17¦Â (E2) treatment	"LPS induces let-7a and inhibits miR-125b expression in human macrophages, and pretreatment with estradiol abrogates these effects"	20351193
52	Human	hsa-let-7a	miRNA	sepsis	liver damage	liver tissues	sepsis induce treatment	The expression of let-7a in liver tissue of patients with sepsis-induced liver injury was clearly decreased	31344555
53	Human	hsa-let-7a	miRNA	particulate matter (PM2.5)	lung cancer	human non-small cell lung cancer cell line A549	chronic (five passages) PM2.5 exposure treatment	downregulated	28846189
54	Human	hsa-let-7a	miRNA	ethanolic extract of an herbal formula comprising Sophorae Flos and Lonicerae Japonicae Flos (SLE)	metastasized melanoma	A375 melanoma cells	SLE treatment	upregulated	31514083
