ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Mouse	RNCR3	lncRNA	high glucose (HG)	diabetic retinopathy (DR)	RF/6A cells	high glucose stress	upregulated	27876564
2	Mouse	1110038B12Rik	lncRNA	X rays	radiation-induced injury	blood	X rays treatment	downregulated	29309266
3	Mouse	1700009J07Rik	lncRNA	high fat diet (HFD)	male infertility	C57bl/6J mice	high fat diet (HFD) feed	dysregulated	28599310
4	Mouse	1700020I14Rik	lncRNA	hypoxia/reoxygenation (H/R)	myocardial injury	HL-1 cells	hypoxia/reoxygenation (H/R) treatment	1700020I14Rik/miR-297a/CGRP axis suppressed myocardial cell apoptosis in myocardial I/R injury.	32298875
5	Mouse	1700026D11Rik	lncRNA	oxygen	retinopathy of prematurity (ROP)	retinal tissues	oxygen treatment	upregulated	32246647
6	Mouse	1700091H14Rik	lncRNA	oxygen	retinopathy of prematurity (ROP)	retinal tissues	oxygen treatment	downregulated	32246647
7	Mouse	1810034E14Rik	lncRNA	lipopolysaccharide (LPS)	ischemic stroke (IS)	primary microglial cells	lipopolysaccharide (LPS) treatment	downregulated	30961627
8	Mouse	1810034E14Rik	lncRNA	oxygen glucose deprivation (OGD)	ischemic stroke (IS)	primary microglial cells	oxygen-glucose deprivation treatment	downregulated	30961627
9	Mouse	2310069B03Rik	lncRNA	cold	obesity	white adipose tissues	cold treatment	Cold exposure increased both lncRNA 2310069B03Rik and Ucp1 expression in inguinal white adipose tissue (iWAT).	31601163
10	Mouse	2610035D17Rik	lncRNA	rosiglitazone	diabetic nephropathy (DN)	kidney tissues	rosiglitazone treatment	upregulated	32025515
11	Mouse	2700086A05Rik	lncRNA	paraquat (PQ)	idiopathic pulmonary fibrosis (IPF)	alveolar epithelial cells	paraquat (PQ) treatment	upregulated	26824344
12	Mouse	2810403D21Rik	lncRNA	H2O2	acute myocardial infarction (AMI)	Neonatal mice cardiomyocytes (NMCMs)	hydrogen peroxid (H2O2) treatment	"forced expression of 2810403D21Rik/Mirf downregulated Mir26a to inhibit autophagy. In contrast, loss of 2810403D21Rik/Mirf resulted in upregulation of Mir26a to promote autophagy and alleviate cardiac injury, which in turn improved cardiac function in MI mice."	31512556
13	Mouse	2900052N01Rik	lncRNA	lipopolysaccharide (LPS)	inflammation	B lymphocytes	lipopolysaccharide (LPS) treatment	lnc-290 was highly expressed in B cells stimulated by LPS	33773377
14	Mouse	4930556M19Rik	lncRNA	high glucose (HG)	diabetic nephropathy (DN)	podocytes	high glucose (HG) treatment	4930556M19Rik overexpression slowed HG-induced podocyte injury by downregulating miR-27a-3p and upregulating TIMP3.	32896839
15	Mouse	4930597A21Rik	lncRNA	dexamethasone (DEX)	asthma	lung tissues	dexamethasone (Dex) treatment	4930597A21Rik was upregulated in the Dex group compared with that in the Model group.	32222886
16	Mouse	6430584L05Rik	lncRNA	"phthalic acid mono-2-ethylhexyl ester (MEHP, bio-metabolite of DEHP)"	rheumatoid arthritis (RA)	TM3 Leydig cells	"phthalic acid mono-2-ethylhexyl ester (MEHP, bio-metabolite of DEHP) treatment"	upregulated	33360214
17	Mouse	9030404E10Rik	lncRNA	oxygen	retinopathy of prematurity (ROP)	retinal tissues	oxygen treatment	upregulated	32246647
18	Mouse	A_30_P01018532	lncRNA	albizia julibrissin (AJSAF)	cell function	RAW264.7 macrophages	albizia julibrissin (AJSAF) treatment	upregulated	31678866
19	Mouse	A330023F24Rik	lncRNA	vorinostat (SAHA)	atherosclerosis (AS)	aortic tissues	vorinostat treatment	upregulated	30284929
20	Mouse	AA089093	lncRNA	X-rays	radiation-induced injury	mouse thymocytes	X-ray irradiation	upregulated	27864278
