ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Mouse	mmu-let-7	miRNA	high tidal volume ventilation (HVTV)	lung injury	lung tissues	high tidal volume ventilation (HVTV) treatment	upregulated	22659882
2	Mouse	mmu-let-7	miRNA	"hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)"	tumorigenesis	brain and liver tissue cells	"hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX) treatment"	downregulated	19270793
3	Mouse	mmu-let-7	miRNA	morphine	contractility of  vascular smooth muscle cells	brain tissues	morphine treatment	morphine significantly upregulated let-7 expression in SH-SY5Y cells and in a mouse model of opioid tolerance.	20668208
4	Mouse	mmu-let-7	miRNA	antifibrotic peptide N-acetyl-seryl-aspartyl-lysyl-proline (AcSDKP)	diabetic nephropathy (DN)	diabetic CD-1 mice	antifibrotic peptide N-acetyl-seryl-aspartyl-lysyl-proline (AcSDKP) treatment	upregulated	24783220
5	Mouse	mmu-let-7	miRNA	synthetic preimplantation factor (sPIF)	duchenne muscular dystrophy (DMD)	myoblast	Synthetic preimplantation factor (sPIF) treatment	downregulated	30692507
6	Mouse	mmu-let-7	miRNA	concanamycin A (Con A)	hepatitis	mice liver tissues	con A infection	upregulated	23184091
7	Mouse	mmu-let-7	miRNA	Staphylococcus aureus	inflammation	mouse mammary tissue	intramammary infection of Globally Staphylococcus aureus treatment	differently regulated	25075227
8	Mouse	mmu-let-7	miRNA	maternal H. bakeri	maternal H. bakeri infection	brain tissues	maternal protein deficiency and/or nematode infection	upregulated in the developing fetal brain	28903026
9	Mouse	mmu-let-7	miRNA	lipopolysaccharide (LPS)	regeneration of the intestinal epithelia	intestinal tissues	lipopolysaccharide (LPS) treatment	downregulated	29621481
10	Mouse	mmu-let-7a	miRNA	high fat diet (HFD)	acute myocardial infarction (AMI)	liver tissue	high fat diet (HFD) feed	downregulated	19835573
11	Mouse	mmu-let-7a	miRNA	ethanol (EtOH)	alcoholic liver disease (ALD)	mouse mouse liver	ethanol treatment	downregulated in mouse liver	28536261
12	Mouse	mmu-let-7a	miRNA	alcohol	alcoholic liver disease (ALD)	liver tissues	alcohol exposure	downregulated	31734308
13	Mouse	mmu-let-7a	miRNA	ethanol (EtOH)	alcoholic liver disease (ALD)	mice hepatocytes	EtOH treatment	downregulated	31734308
14	Mouse	mmu-let-7a	miRNA	folate	apoptosis	mouse embryonic stem cells (mESCs)	folate deficiency induced	upregulated	22828209
15	Mouse	mmu-let-7a	miRNA	blast	blast traumatic brain injury (bTBI)	Balb/c mice	blast treatment	dysregulated	29020847
16	Mouse	mmu-let-7a	miRNA	diethylnitrosamine (DEN)	chronic cholestasis and cholangiocarcinoma	liver tissues	diethylnitrosamine (DEN) treatment	downregulated	21440549
17	Mouse	mmu-let-7a	miRNA	estradiol	embryo implantation	mouse dormant blastocysts	estradiol treatment	downregulated	24419497
18	Mouse	mmu-let-7a	miRNA	calcitonin (CT)	endometrial receptivity	uterine tissue	calcitonin (CT) treatment	upregulated	30536902
19	Mouse	mmu-let-7a	miRNA	calcitonin (CT)	endometrial receptivity	uterine tissue samples	calcitonin (CT) treatment	CT injection increased the expression of LIF and miRNA Let-7a in ovarian stimulation similar to that in normal ovarian cycles.	30536902
20	Mouse	mmu-let-7a	miRNA	dichloroacetate (DCA)	energy metabolism	MDA-MB-231 cells	dichloroacetate (DCA) treatment	upregulated	32248711
21	Mouse	mmu-let-7a	miRNA	gold nanoparticles (AuNPs)	epithelial-mesenchymal transition and peritoneal fibrosis	liver and lung of mouse fetuses	gold nanoparticles (AuNP) treatment	upregulated	24004569
22	Mouse	mmu-let-7a	miRNA	honeysuckle (HS)	enterovirus 71 (EV71) infection	brain tissues	Honeysuckle treatment	"Moreover, honeysuckle-induced?let-7a?suppression of EV71 RNA and protein expression as well as viral replication were investigated both in vitro and in vivo."	33669264
23	Mouse	mmu-let-7a	miRNA	lipopolysaccharide (LPS)	inflammation	"Kupffer cells, RAW264.7 cells"	lipopolysaccharide (LPS) treatment	let-7a regulates LPS-induced inflammatory responses by targeting TLR4.	31344555
24	Mouse	mmu-let-7a	miRNA	Japanese Encephalitis virus (JEV)	Japanese Encephalitis virus (JEV) infection	mouse neuronal (Neuro2a) cells or primary cortical neurons	Japanese Encephalitis virus (JEV) infection	upregulated	30556910
25	Mouse	mmu-let-7a	miRNA	hypoxia	melanoma	Mouse melanoma B16-F0 cells	hypoxia induce	downregulated	30872795
26	Mouse	mmu-let-7a	miRNA	hypoxia	melanoma	Mouse melanoma B16-F0 cell exosomes	hypoxia induce	upregulated	30872795
27	Mouse	mmu-let-7a	miRNA	ethanolic extract of an herbal formula comprising Sophorae Flos and Lonicerae Japonicae Flos (SLE)	metastasized melanoma	"B16F10 melanoma tissues, B16F10 melanoma lung metastasis in mice"	SLE treatment	upregulated	31514083
28	Mouse	mmu-let-7a	miRNA	coronary artery ligation	myocardial ischaemic injury	heart	subjected to coronary artery ligation	downregulated	26655604
29	Mouse	mmu-let-7a	miRNA	sevoflurane (SEV)	neurodegeneration (ND)	mouse embryonic stem cells (mESCs)	sevoflurane treatment	upregulated	27022747
30	Mouse	mmu-let-7a	miRNA	lipopolysaccharide (LPS)	osteoarthritis (OA)	ATDC5 cells	lipopolysaccharide (LPS) treatment	upregulated	31322277
31	Mouse	mmu-let-7a	miRNA	¦Á-Synuclein (¦Á-Syn)	parkinson's disease (PD)	PD mice substantia nigra pars compacta (SNpc) or BV-2 microglia cells in vitro	¦Á-Synuclein (¦Á-Syn) treatment	downregulated	31547989
32	Mouse	mmu-let-7a	miRNA	plasmodium chabaudi malaria	peak parasitemia	liver of mice	Plasmodium chabaudi malaria infection treatment	downregulated	21085987
33	Mouse	mmu-let-7a	miRNA	testosterone	prostate cancer	female mouse liver	Testosterone treatment	"upregulation of the 6 miRNAs miR-22, miR-690, miR-122, let-7A, miR-30D and let-7D"	20600201
34	Mouse	mmu-let-7a	miRNA	arsenite	lung fibrosis	murine bone marrow-derived macrophages (BMDMs)	arsenic (As) exposure	downregulated of H19 or upregulated of let-7a reversed the arsenite-induced M2 polarization of macrophages.	33162208
35	Mouse	mmu-let-7a	miRNA	arsenite	lung fibrosis	lung tissues; bone marrow-derived macrophages (BMDMs)	arsenite exposure	downregulated	33162208
36	Mouse	mmu-let-7a	miRNA	laparotomy and exposure of the junc_x0002_tion between the large and small intestines	sepsis	mouse large and small intestines	laparotomy and exposure of the junc_x0002_tion between the large and small intestines treatment	downregulated	25043848
37	Mouse	mmu-let-7a	miRNA	social defeat stress	sex differences of social defeat stress	female mice	social defeat stress treatment	upregulated	33358922
38	Mouse	mmu-let-7a	miRNA	fludrocortisone	uterine receptivity	epithelial endometrium	fludrocortisone treatment	upregulated	30968418
39	Mouse	mmu-let-7a	miRNA	bone morphogenetic protein 2 (BMP2)	chondrogenesis	Mouse embryonic fibroblasts (MEFs)	bone morphogenetic protein 2 (BMP2) treatment	upregulated	23519980
