ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Apple	MLNC3.2	lncRNA	light	anthocyanin biosynthetic	apple peels from the 'Red Fuji' cultivar	light treatment	dysregulated	31344284
2	Apple	MLNC4.6	lncRNA	light	anthocyanin biosynthetic	apple peels from the 'Red Fuji' cultivar	light treatment	dysregulated	31344284
3	Arabidopsis thaliana	AK221488	lncRNA	fusarium oxysporum	infection of Fusarium oxysporum	Arabidopsis thaliana	Fusarium oxysporum infection treatment	dysregulated	24117540
4	Arabidopsis thaliana	AK226818	lncRNA	fusarium oxysporum	infection of Fusarium oxysporum	Arabidopsis thaliana	Fusarium oxysporum infection treatment	dysregulated	24117540
5	Arabidopsis thaliana	At2g30770	lncRNA	fusarium oxysporum	infection of Fusarium oxysporum	Arabidopsis thaliana	Fusarium oxysporum infection treatment	dysregulated	24117540
6	Arabidopsis thaliana	DRIR	lncRNA	abscisic acid (ABA)	response to abiotic stress	arabidopsis	abscisic acid (ABA) treatment	downregulated	28887353
7	Arabidopsis thaliana	DRIR	lncRNA	salt	response to abiotic stress	arabidopsis	salt stress	downregulated	28887353
8	Arabidopsis thaliana	T5120	lncRNA	nitrate	nitrate regulation	Arabidopsis seedling roots	nitrate treatment	upregulated	31264223
9	Barley	TCONS_00002619	lncRNA	boric acid	barley development and environmental response	Barley	boric acid treatment	"Compared to the untreated control, the abundance of TCONS_00002619 transcripts dramatically increased in the root of Sahara exposed by excess-B."	31730798
10	Barley	TCONS_00006186	lncRNA	boric acid	barley development and environmental response	Barley	boric acid treatment	"Compared to the untreated control, the abundance of TCONS_00006186 transcripts dramatically increased in the leaf of Sahara exposed by excess-B."	31730798
11	Barley	TCONS_00045190	lncRNA	boric acid	barley development and environmental response	Barley	boric acid treatment	"Compared to the untreated control, the abundance of TCONS_00045190 transcripts dramatically increased in the root of Sahara exposed by excess-B."	31730798
12	Barley	TCONS_00056415	lncRNA	boric acid	barley development and environmental response	Barley	boric acid treatment	"Compared to the untreated control, the abundance of TCONS_00056415 transcripts dramatically increased in the leaf of Sahara exposed by excess-B."	31730798
13	Barley	TCONS_00077802	lncRNA	boric acid	barley development and environmental response	Barley	boric acid treatment	"Compared to the untreated control, the abundance of TCONS_00077802 transcripts dramatically increased in the leaf of Sahara exposed by excess-B."	31730798
14	Caenorhabditis elegans	linc-18	lncRNA	nanopolystyrene	nanopolystyrene toxicity	Caenorhabditis elegans	nanopolystyrene exposure	upregulated	31541829
15	Caenorhabditis elegans	linc-2	lncRNA	nanopolystyrene	nanopolystyrene toxicity	Caenorhabditis elegans	nanopolystyrene exposure	upregulated	31541829
16	Caenorhabditis elegans	linc-50	lncRNA	nanopolystyrene	nanopolystyrene toxicity	Caenorhabditis elegans	nanopolystyrene exposure	downregulated	31541829
17	Caenorhabditis elegans	linc-61	lncRNA	nanopolystyrene	nanopolystyrene toxicity	Caenorhabditis elegans	nanopolystyrene exposure	upregulated	31541829
