ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Aedes aegypti mosquitoe	aae-miR-286b	miRNA	zika virus (ZIKV)	Zika virus (ZIKV) infection	Aedes aegypti	infect with ZIKV treatment	dysregulated	28715413
2	Aedes aegypti mosquitoe	aae-miR-2940	miRNA	wolbachia	wolbachia infection	aedes aegypti mosquitoes	wolbachia-infected treatment	upregulated	25158106
3	Aedes aegypti mosquitoe	aae-miR-2941	miRNA	zika virus (ZIKV)	Zika virus (ZIKV) infection	Aedes aegypti	infect with ZIKV treatment	dysregulated	28715413
4	Aedes aegypti mosquitoe	aae-miR-308	miRNA	zika virus (ZIKV)	Zika virus (ZIKV) infection	Aedes aegypti	infect with ZIKV treatment	dysregulated	28715413
5	Aedes aegypti mosquitoe	aae-miR-309a	miRNA	zika virus (ZIKV)	Zika virus (ZIKV) infection	Aedes aegypti	infect with ZIKV treatment	dysregulated	28715413
6	Aedes aegypti mosquitoe	aae-miR-989	miRNA	zika virus (ZIKV)	Zika virus (ZIKV) infection	Aedes aegypti	infect with ZIKV treatment	dysregulated	28715413
7	Anopheles anthropophagus	aan-miR-275	miRNA	plasmodium	plasmodium infection	anopheles anthropophagus midgut	plasmodium treatment	downregulated in midgut	28209211
8	Anopheles anthropophagus	aan-miR-92a	miRNA	plasmodium	plasmodium infection	anopheles anthropophagus midgut	plasmodium treatment	upregulated in midgut	28209211
9	Anopheles gambiae	aga-miR-133	miRNA	rodent malaria parasite Plasmodium berghei	expression regulation	de novo A. gambiae	infect with rodent malaria parasite Plasmodium berghei treatment	upregulated	24997592
10	Anopheles gambiae	aga-miR-1891	miRNA	rodent malaria parasite Plasmodium berghei	expression regulation	de novo A. gambiae	infect with rodent malaria parasite Plasmodium berghei treatment	upregulated	24997592
11	Anopheles gambiae	aga-miR-278	miRNA	rodent malaria parasite Plasmodium berghei	expression regulation	de novo A. gambiae	infect with rodent malaria parasite Plasmodium berghei treatment	upregulated	24997592
12	Anopheles gambiae	aga-miR-281	miRNA	rodent malaria parasite Plasmodium berghei	expression regulation	de novo A. gambiae	infect with rodent malaria parasite Plasmodium berghei treatment	upregulated	24997592
13	Anopheles gambiae	aga-miR-305	miRNA	P. falciparum	anti-Plasmodium response	mosquito	P. falciparum infected treatment	upregulated	25445902
14	Anopheles gambiae	aga-miR-929	miRNA	rodent malaria parasite Plasmodium berghei	expression regulation	de novo A. gambiae	infect with rodent malaria parasite Plasmodium berghei treatment	upregulated	24997592
15	Anopheles gambiae	aga-miR-965	miRNA	rodent malaria parasite Plasmodium berghei	expression regulation	de novo A. gambiae	infect with rodent malaria parasite Plasmodium berghei treatment	upregulated	24997592
16	Anopheles gambiae	aga-miR-989	miRNA	P. falciparum	anti-Plasmodium response	mosquito	P. falciparum infected treatment	upregulated	25445902
17	Apostichopus japonicus	spu-miR-137	miRNA	lipopolysaccharide (LPS)	apoptosis	sea cucumber primary cell	1 mg mL-1 of LPS from Escherichia coli	downregulated	27832949
18	Apostichopus japonicus	spu-miR-138	miRNA	vibrio splendidus	apoptosis	healthy adult sea cucumber Apostichopus japonicus	infect with Vibrio splendiduss treatment	downregulated	27832949
