ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Rat	AABR07037489.1	lncRNA	nickel	steroidogenesis disturbance	Leydig cells	NiSO4 induce	dysregulated	31734292
2	Rat	AABR07037489.1	lncRNA	NiSO4	steroidogenesis disturbance	rat Leydig cells	NiSO4 treatment	downregulated	31734292
3	Rat	AABR07070307.1	lncRNA	NiSO4	steroidogenesis disturbance	rat Leydig cells	NiSO4 treatment	downregulated	31734292
4	Rat	Abcf2-004	lncRNA	letrozole	polycystic ovarian syndrome (PCOS)	ovarian tissues	letrozole treatment	upregulated	29505837
5	Rat	Adgrv1-003	lncRNA	letrozole	polycystic ovarian syndrome (PCOS)	ovarian tissues	letrozole treatment	upregulated	29505837
6	Rat	AF159100	lncRNA	angiotensin II (Ang II)	cardiac fibrosis	Sprague-Dawley (SD) rats	angiotensin II (Ang II) treatment	upregulated	24817929
7	Rat	AF230638	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	downregulated	28849035
8	Rat	AF336872	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	upregulated	28849035
9	Rat	AJ005396	lncRNA	bleomycin (BLM)	lung fibrosis	fibrotic lung tissues	bleomycin (BLM) treatment	upregulated	23732278
10	Rat	AK003290	lncRNA	tanshinone IIA (Tan IIA)	acute myocardial infarction (AMI)	H9c2 cells	Tanshinone IIA (TSA) treatment	"TSA exerts the protective role against H/R induced apoptosis, oxidative and MMP loss of cardiomyocytes via regulating AK003290 and miR-124-5p signaling"	32220226
11	Rat	AK046177	lncRNA	Safflor yellow B (SYB)	stroke	cortical cells	Safflor yellow B (SYB) treatment	Safflor Yellow B Attenuates Ischemic Brain Injury via downregulated of Long Noncoding AK046177 and Inhibition of MicroRNA-134 Expression in Rats	32566081
12	Rat	AK12348	lncRNA	anoxia/reoxygenation (A/R)	myocardial ischemia/reperfusion (I/R) injury (MIRI)	H9c2 cells	anoxia/reoxygenation (A/R) treatment	"The relative level of lncRNA AK12348, LDH release and cell apoptotic rate in A/R cardiomyocytes was significantly higher than that in normal cardiomyocytes."	29398472
13	Rat	AK12348	lncRNA	anoxia/reoxygenation (A/R)	myocardial ischemia/reperfusion (I/R) injury (MIRI)	rat cardiomyocyte H9C2	anoxia/reoxygenation (A/R) treatment	upregulated	29398472
14	Rat	AK123702	lncRNA	hypoxia	gastric cancer (GC)	GC cells	hypoxia treatment	upregulated	26884908
15	Rat	AK139128	lncRNA	hypoxia	myocardial infarction (MI)	cardiomyocytes	hypoxia treatment	hypoxia upregulated the level of AK139128 in CMs and exosomes and exosomal AK139128 derived from hypoxic CMs modulated cellular activities of CFs in vitro and in vivo.	32494135
16	Rat	ANRIL	lncRNA	hypoxia	acute myocardial infarction (AMI)	H9c2 cells	hypoxia induce	upregulated	31264206
17	Rat	ANRIL	lncRNA	hypoxia	acute myocardial infarction (AMI)	H9c2 cells	hypoxia treatment	ANRIL plays a protective part in hypoxia-induced H9c2 cell injury via modulating the miR-7-5p/SIRT1 axis	31264206
18	Rat	ANRIL	lncRNA	oxygen glucose deprivation (OGD)	ischemic stroke (IS)	rat adrenal medulla-derived pheochromocytoma cell line PC-12	oxygen-glucose deprivation (OGD) induce treatment	OGD-induced PC-12 cell injury and decreased ANRIL expression	31174432
19	Rat	Atat1	lncRNA	NiSO4	steroidogenesis disturbance	rat Leydig cells	NiSO4 treatment	downregulated	31948324
20	Rat	ATB	lncRNA	amyloid-¦Â (A¦Â) 25-35	Alzheimer's disease (AD)	PC12 cells	amyloid-¦Â (A¦Â) 25-35 treatment	A¦Â 25-35-induced injury in PC12 cells and increased the expression of lncRNA-ATB.	30248538
21	Rat	AX765700	lncRNA	angiotensin II (Ang II)	cardiac fibrosis	Sprague-Dawley (SD) rats	angiotensin II (Ang II) treatment	upregulated	24817929
22	Rat	AY325162	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	upregulated	28849035
23	Rat	BACE1-AS	lncRNA	6-hydroxydopamine (6-OHDA)	parkinson's disease (PD)	substantia nigra	6-hydroxydopamine (6-OHDA) treatment	downregulated of lncRNA BACE1-AS inhibits iNOS activation in the substantial nigra and improve oxidative stress injury in PD rats by upregulating miR-34b-5p and downregulating BACE1.	32308102
24	Rat	BC079195	lncRNA	manganese (Mn)	neurotoxicity	hippocampal neurons	Manganese (Mn) treatment	upregulated	26745496
25	Rat	BC086588	lncRNA	angiotensin II (Ang II)	cardiac fibrosis	Sprague-Dawley (SD) rats	angiotensin II (Ang II) treatment	upregulated	24817929
26	Rat	BC088254	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	upregulated	28849035
27	Rat	BC089928	lncRNA	manganese (Mn)	neurotoxicity	hippocampal neurons	Manganese (Mn) treatment	downregulated	26745496
28	Rat	BC092207	lncRNA	subarachnoid hemorrhage (SAH)	early brain injury (EBI)	brain	subarachnoid hemorrhage (SAH) treatment	upregulated	25777551
29	Rat	BC167085	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	downregulated	28849035
30	Rat	BC168211	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	upregulated	28849035
31	Rat	BC168687	lncRNA	aldosterone	chronic kidney disease (CKD)	mesangial cells (MCs)	aldosterone treatment	upregulated	28849035
32	Rat	BC168687	lncRNA	streptozocin (STZ)	diabetic neuropathic pain (DNP)	rats DRG	injected intraperitoneally with a dosage of 30?mg/kg streptozotocin (STZ) solution treatment	upregulated	29204447
33	Rat	BCYRN1	lncRNA	platelet derived growth factor-BB (PDGF-BB)	asthma	airway smooth muscle cells (ASMCs) isolated from SD rat	platelet-derived growth factor-BB (PDGF-BB) treatment	upregulation	27648131
