ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Rat	rno-let-7	miRNA	lipopolysaccharide (LPS)	acute lung injury (ALI)	lung tissues	endotoxin treatment	upregulated	26137246
2	Rat	rno-let-7	miRNA	"2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)"	colorectal cancer (CRC)	rat tumors; colonic mucosa tissues	"2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP) treatment"	the let-7/c-Myc/Lin28 axis is dysregulated in heterocyclic amine-induced colon carcinogenesis	22641368
3	Rat	rno-let-7	miRNA	pilocarpine	epilepsy	adult male rats brain tissue and heart tissue	50 days of pilocarpine treatment	downregulated in heart tissue	24530830
4	Rat	rno-let-7	miRNA	curcumin (Cur)	neuroinflammation	neuroinflammatory rat	"co- of both compounds (Cur or VPA, 200 mg/kg) for 4 weeks treatment"	upregulated	25374508
5	Rat	rno-let-7a	miRNA	sevoflurane (SEV)	acute lung injury (ALI)	lung tissues	sevoflurane treatment	downregulated	28617947
6	Rat	rno-let-7a	miRNA	infarct the LV free wall	acute myocardial infarction (AMI)	heart tissues	left anterior descending coronary artery (LAD) was ligated using a 5/0 silk thread treatment	downregulated	24758696
7	Rat	rno-let-7a	miRNA	angiotensin II (Ang II)	cardiac hypertrophy	neonatal rat ventricular myocytes (NRVMs)	angiotensin II (Ang II) treatment	downregulated	28123343
8	Rat	rno-let-7a	miRNA	formaldehyde	formaldehyde inducted immune/inflammation	rats	were exposed to formaldehyde treatment	downregulated	24304932
9	Rat	rno-let-7a	miRNA	vein graft model	intimal hyperplasia (IH)	rat	vein graft treatment	downregulated	24953987
10	Rat	rno-let-7a	miRNA	enoxacin	major depressive disorder (MDD)	rats	with 10 or 25 mg/kg enoxacin for 1 week treatment	upregulated	24575053
11	Rat	rno-let-7a	miRNA	hypoxia	myocardial ischaemic injury	neonatal rat ventricular myocytes	hypoxia treatment	downregulated	26655604
12	Rat	rno-let-7a	miRNA	high fat diet (HFD)	obesity	rats	high fat diet (HFD) feed	dysregulated	24517225
13	Rat	rno-let-7a	miRNA	rotenone (ROT)	parkinson's disease (PD)	striatum of parkinsonian rats	rotenone exposure treatment	upregulated	30267378
14	Rat	rno-let-7a	miRNA	single dose irradiation	radiation-induced lung injury (RILI)	male Wistar rats lung tissues	subjected to single dose irradiation with 20 Gy using 6 MV x-rays to the right lung treatment	upregulated	24886372
15	Rat	rno-let-7a-1	miRNA	steroids	osteonecrosis of femoral head (ONFH)	bone marrow mesenchymal stem cells (BMSCs)	steroid treatment	downregulated	27910957
16	Rat	rno-let-7a-2-5p	miRNA	lipopolysaccharide (LPS)	septic shock	heart tissue	lipopolysaccharide (LPS) treatment	dysregulated	31332662
17	Rat	rno-let-7a-5p	miRNA	alcohol	brain damage due to chronic heavy alcohol	hippocampal tissues	chronic alcohol administration	upregulated	33228793
18	Rat	rno-let-7a-5p	miRNA	high fat diet (HFD)	obesity	white adipose tissues	high fat diet (HFD) feed	upregulated	32366215
19	Rat	rno-let-7a-5p	miRNA	FK506	osteogenesis	rat bone marrow stromal cells (BMSCs)	FK506 treatment	downregulated	28560399
20	Rat	rno-let-7a-5p	miRNA	herb-partitioned moxibustion	ulcerative colitis (UC)	UC rats colon tissues	herb-partitioned moxibustion	upregulated	28246536
21	Rat	rno-let-7b	miRNA	oxygen	oxygen-induced retinopathy (OIR)	choroid and the retinal pigment epithelium	oxygen treatment	upregulated	31430465
22	Rat	rno-let-7b	miRNA	burn injury	burn-induced hyperglycemia	rats serum	30% total body surface area (TBSA)	upregulated	29069833
23	Rat	rno-let-7b	miRNA	adriamycin (ADR)	chronic myeloid leukemia (CML)	K562 cells; KA cells	adriamycin (ADR) treatment	let-7b was downregulated in K562/ADM (KA) cells.	32856506
24	Rat	rno-let-7b	miRNA	cisplatin (DDP)	cisplatin (DDP)-induced nephrotoxicity	renal tissue homogenate	cisplatin treatment	downregulated	32777238
25	Rat	rno-let-7b	miRNA	pentoxifylline (PTX)	cisplatin (DDP)-induced nephrotoxicity	renal tissue homogenate	pentoxifylline (PTX) treatment	upregulated	32777238
26	Rat	rno-let-7b	miRNA	antibiotics	dysbacteria	Sprague Dawley (SD) rats faeces	treat with a combination of antibiotics for 8 week	downregulated	29264965
27	Rat	rno-let-7b	miRNA	kainic acid (KA)	epilepsy	rat hippocampus neurons	kainic acid treatment	LncRNA H19 could competitively bind to let-7b to promote hippocampal glial cell activation and epileptic seizures by targeting Stat3 in a rat model of temporal lobe epilepsy.	32648622
28	Rat	rno-let-7b	miRNA	hypoxia	hypoxic pulmonary hypertension (HPH)	lung tissues and pulmonary artery smooth muscle cells (PASMCs)	hypoxia induce	upregulated	30628484
29	Rat	rno-let-7b	miRNA	verapamil	male fertility	testis	verapamil treatment	downregulated	32725937
30	Rat	rno-let-7b	miRNA	ethanol (EtOH)	neuroimmune	rat hippocampal-entorhinal cortex (HEC)	ethanol treatment	upregulated	28118842
31	Rat	rno-let-7b	miRNA	estradiol-17¦Â (E2)	osteogenesis	primary bone marrow mesenchymal stem cells from rats (rBMSCs)	estradiol-17¦Â (E2) treatment	upregulated	31089333
32	Rat	rno-let-7b	miRNA	hypoxia	pulmonary hypertension (PH)	Sprague-Dawley (SD) rats remodeled pulmonary artery	were exposed to hypoxia (10% O2) for 21days	downregulated in remodeled pulmonary artery	27889560
33	Rat	rno-let-7b	miRNA	TGF-¦Â1	renal fibrosis	Rat proximal tubular epithelial cells (NRK52E)	Transforming growth factor-¦Â1 treatment	downregulated	24088962
34	Rat	rno-let-7b	miRNA	TGF-¦Â1	renal fibrosis	NRK52E cells	TGF-¦Â1 treatment	downregulated	24088962
35	Rat	rno-let-7b-5p	miRNA	"2,5-hexanedione (HD)"	"2,5-hexanedione (HD) toxicity"	spinal cord tissues	"2,5-hexanedione (HD) treatment"	upregulated	31760062
36	Rat	rno-let-7b-5p	miRNA	electroacupuncture (EA)	analgesic effects	brain tissues	Electroacupuncture (EA) treatment	MicroRNA Let-7b-5p Induces Electroacupuncture Tolerance by Downregulating the MKP-1 Gene in Rats Subjected to CFA-induced Inflammatory Nociception.	32240501
37	Rat	rno-let-7b-5p	miRNA	electroacupuncture (EA)	chronic nociception	hypothalamus	electroacupuncture (EA) treatment	Let-7b-5p promotes electroacupuncture tolerance by downregulating Penk1 gene in CFA-induced inflammatory nociception rats.	32184167
38	Rat	rno-let-7b-5p	miRNA	glucocorticoid (GC)	respiratory distress syndrome	lung	Glucocorticoids treatment	upregulated	26997989
39	Rat	rno-let-7b-5p	miRNA	smoking	smoke inhalation injury (SII)	bronchoalveolar lavage fluid (BALF)	Smoke inhalation treatment	upregulated	30139538
40	Rat	rno-let-7c	miRNA	infarct the LV free wall	acute myocardial infarction (AMI)	heart tissues	left anterior descending coronary artery (LAD) was ligated using a 5/0 silk thread treatment	downregulated	24758696
41	Rat	rno-let-7c	miRNA	aluminum (Al)	Alzheimer's disease (AD)	PC-12 cells	aluminum treatment	downregulated	28222524
42	Rat	rno-let-7c	miRNA	curcumin (Cur)	Alzheimer's disease (AD)	aluminum-induced PC-12 cells	curcumin treatment	upregulated	28222524
43	Rat	rno-let-7c	miRNA	resveratrol	Alzheimer's disease (AD)	aluminum-induced PC-12 cells	resveratrol treatment	upregulated	28222524
44	Rat	rno-let-7c	miRNA	formaldehyde	formaldehyde inducted immune/inflammation	rats	were exposed to formaldehyde treatment	downregulated	24304932
45	Rat	rno-let-7c	miRNA	collagenase	intracerebral haemorrhage (ICH)	brain tissues	harvested hemorrhagic brain 24 hours aftercollagenase induced ICH in the rat treatment	upregulated	24959881
46	Rat	rno-let-7c	miRNA	hypoxia/reoxygenation (H/R)	ischemia/reperfusion (I/R) injury	mesenchymal stem cell (MSC) exosome	hypoxia-reoxygenation (H/R) treatment	upregulated	32719674
47	Rat	rno-let-7c	miRNA	single dose irradiation	radiation-induced lung injury (RILI)	male Wistar rats lung tissues	subjected to single dose irradiation with 20 Gy using 6 MV x-rays to the right lung treatment	upregulated	24886372
48	Rat	rno-let-7c-1-3p	miRNA	methylprednisolone	steroid-induced osteonecrosis of femoral head (ONFH)	bone microvascular endothelial cells (BMECs)	methylprednisolone treatment	downregulated	29408208
