ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Human	chr13:50054355-50057699	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	downregulated	31818729
2	Human	chr13:50054355-50057699+	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	downregulated	31818729
3	Human	chr14:101402109-101464448+	circRNA	gemcitabine (GEM)	pancreatic cancer (PC)	PANC-1 cells	gemcitabine (GEM) treatment	chr14:101402109- 101464448+ was found significantly upregulated in non-responsive group.	29922161
4	Human	chr18:21644104-21649235	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	downregulated	31818729
5	Human	chr18:21644104-21649235+	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	downregulated	31818729
6	Human	chr2:15629018-15651474	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	upregulated	31818729
7	Human	chr4:52729603-52780244+	circRNA	gemcitabine (GEM)	pancreatic cancer (PC)	PANC-1 cells	gemcitabine (GEM) treatment	chr4:52729603-52780244+ was found significantly upregulated in non-responsive group.	29922161
8	Human	chr7:2330794-22357656	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	upregulated	31818729
9	Human	chr7:2330794-22357656-	circRNA	adriamycin (ADR)	acute myeloid leukemia (AML)	HL-60 cells	adriamycin (ADR) treatment	upregulated	31818729
10	Human	circABCB10	circRNA	paclitaxel (PTX)	breast cancer	BC tissues; MCF-7 cells MDA-MB-231	Paclitaxel (PTX) treatment	upregulated	32273769
11	Human	circABCB10	circRNA	cisplatin (DDP)	lung cancer	A549 cells; NCl H292 cells	cisplatin treatment	downregulated	31931771
12	Human	circACTR2	circRNA	glucose	diabetic nephropathy (DN)	HK-2 cells	glucose treatment	"CircACTR2 regulates high glucose-induced pyroptosis, inflammation and fibrosis in proximal tubular cells."	32115515
13	Human	circADAM9	circRNA	high glucose (HG)	dysfunction of endothelial progenitor cells (EPCs)	human endothelial progenitor cells (EPCs)	high glucose (HG) treatment	Circ-ADAM9 targeting PTEN and ATG7 promotes autophagy and apoptosis of diabetic endothelial progenitor cells by sponging mir-20a-5p.	32661238
14	Human	circANKRD11	circRNA	cigarette smoke extract (CSE)	chronic obstructive pulmonary disease (COPD)	Human pulmonary microvascular endothelial cells HPMECs	cigarette smoke extract (CSE) treatment	"CircANKRD11 and BRD4 expression were increased, whereas miR-145-5p expression was decreased in the lung tissues of smokers with or without COPD and CSE-induced HPMECs"	33833509
15	Human	circANKRD36	circRNA	lipopolysaccharide (LPS)	bedsore	HaCaT cells	lipopolysaccharide (LPS) treatment	upregulated	31692058
16	Human	circANKRD36	circRNA	lipopolysaccharide (LPS)	inflammatory injury	HaCaT cells	lipopolysaccharide (LPS) treatment	circANKRD36 remitted cell inflammatory damage upregulating miR-15/MyD88 via the NF-¦ÊB pathway in HaCaT cells.	31692058
