ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Mouse	chr15:95864225-95894541+	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	upregulated	29991023
2	Mouse	chr18:35610871-35613502+	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	upregulated	29991023
3	Mouse	chr19:16705875-16710941-	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	upregulated	29991023
4	Mouse	chr19:42562552-42564341+	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	downregulated	29991023
5	Mouse	chr3:141922094:141940965	circRNA	high glucose (HG)	diabetic nephropathy (DN)	Mouse primary kidney GEC (C57-6014G) and mouse glomerular mesangial cells (GMC) (SV40 MES 13) and derived exosomes	high glucose (HG) treatment	downregulated	31497190
6	Mouse	chr3:72958113-72960367-	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	downregulated	29991023
7	Mouse	chr3:96041338-96042928-	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	upregulated	29991023
8	Mouse	chr5:32640331-32664400+	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	downregulated	29991023
9	Mouse	chr5:64096979-64108263+	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	upregulated	29991023
10	Mouse	chr8:79343654-79372364-	circRNA	radiation	radiation-induced injury	jejuna	radiation treatment	downregulated	29991023
11	Mouse	circAkap7	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral ischemia injury (CII)	primary astrocytes	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	Exosomes Derived From CircAkap7-Modified Adipose-Derived Mesenchymal Stem Cells Protect Against Cerebral Ischemic Injury	33123535
12	Mouse	circARF3	circRNA	high fat diet (HFD)	adipose inflammation	mouse adipose tissues	high fat diet (HFD) feed	Overexpressing TRAF3 attenuated miR-103-induced inflammation by accelerating mitophagy.	30623853
13	Mouse	circArhgap12	circRNA	doxorubicin (DOX)	cardiotoxicity	heart tissues	doxorubicin (DOX) treatment	CircRNA-Arhgap12 was upregulated in the mouse heart tissue upon DOX intervention.	33245966
14	Mouse	circArhgap12	circRNA	doxorubicin (DOX)	doxorubicin (DOX)-induced cardiotoxicity	heart tissue	doxorubicin (DOX) treatment	"we found that a circRNA coded by the Arhgap12 gene, termed circArhgap12, was upregulated in the mouse heart tissue upon DOX intervention. circArhgap12 might play a competitive role among endogenous RNAs in mouse cardiomyocytes during DOX-induced cardiotoxicity."	33245966
15	Mouse	circATP9b	circRNA	carbon tetrachloride (CCl4)	liver fibrosis	hepatic stellate cells (HSCs)	carbon tetrachloride (CCl4) treatment	downregulated	32308754
16	Mouse	circAtp9b	circRNA	IL-1¦Â	osteoarthritis (OA)	mouse chondrocytes	IL-1¦Â treatment	circRNA_Atp9b expression was significantly upregulated in mouse chondrocytes after stimulation with interleukin-1 beta (IL-1¦Â).	29305974
17	Mouse	circBbs9	circRNA	particulate matter (PM2.5)	chronic obstructive pulmonary disease (COPD)	lung tissues; blood; RAW264.7 cells	Fine particulate matter (PM2.5) treatment	upregulated	32707273
18	Mouse	circCalm4	circRNA	hypoxia	hypoxic pulmonary hypertension (HPH)	lung tissues	hypoxia treatment		32008463
19	Mouse	circCalm4	circRNA	hypoxia	pulmonary hypertension (PH)	pulmonary arterial smooth muscle cells (PASMCs)	hypoxia treatment	upregulated	33657879
20	Mouse	circCBFB	circRNA	acetaminophen (APAP)	liver damage	AML12 cells	acetaminophen (APAP) treatment	circ-CBFB acts as a miRNA sponge of miR-185-5p to mediate p66Shc in APAP-induced liver injury.	33159035
21	Mouse	circCd84	circRNA	tanshinone IIA (Tan IIA)	atherosclerosis (AS)	RAW 264.7 cells	Tanshinone IIA (Tan) treatment	downregulated	32337768
22	Mouse	circCDH13	circRNA	destabilization of medial meniscus (DMM)	osteoarthritis (OA)	artilage tissues	destabilization of medial meniscus (DMM) treatment	CircCDH13 contributes to OA pathogenesis by functioning as a sponge of miR-296-3p and regulating the miR-296-3p-PTEN pathway.	33037617
23	Mouse	circCDR1as	circRNA	diosbuibin B (DB)	gastric cancer (GC)	"human gastric cancer cell lines (MGC803, BGC-823 and SGC7901)"	diosbuibin B (DB) treatment	knock-down of CircRNA CDR1as specifically promoted the cytotoxic effects of low-dose DB on GC cells instead of hepatocytes by regulating miR-7-5p/REG¦Ã axis.	31542615
24	Mouse	circCOL1A2	circRNA	streptozocin (STZ)	diabetic retinopathy (DR)	retinal tissues	streptozotocin (STZ) treatment	upregulated	32497630
25	Mouse	circDcbld2	circRNA	bisphenol A (BPA)	apoptosis	?GC-2 cells	bisphenol A (BPA) treatment	upregulated	31020848
26	Mouse	circDdx17	circRNA	ovalbumin (OVA)	allergic rhinitis (AR)	spleen cells	ovalbumin (OVA) treatment	circDdx17 were decreased in OVA-induced AR mice.	31999672
27	Mouse	circDLGAP4	circRNA	"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)"	parkinson's disease (PD)	"ventral midbrains, mouse dopaminergic neuronal cell line MN9D"	"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine (MPTP) treatment"	circDLGAP4 expression was decreased in MPTP-induced PD mouse model and MPP+-induced PD cell models.	31761328
