ID	Species	ncRNA	ncRNA type	Environmental factor (EF)	Phenotype	Sample	Condition of EF	Evidence	PubMed ID
1	Rat	chr1:142682098|142682602	circRNA	hyperoxia	bronchopulmonary dysplasia (BPD)	lung tissues	hyperoxia treatment	downregulated	31961470
2	Rat	chr1:87010380|87010777	circRNA	hyperoxia	bronchopulmonary dysplasia (BPD)	lung tissues	hyperoxia treatment	downregulated	31961470
3	Rat	chr15:67588477|67588841	circRNA	hyperoxia	bronchopulmonary dysplasia (BPD)	lung tissues	hyperoxia treatment	downregulated	31961470
4	Rat	chr18:49891333|49891588	circRNA	hyperoxia	bronchopulmonary dysplasia (BPD)	lung tissues	hyperoxia treatment	downregulated	31961470
5	Rat	chr19:9683854|9684128	circRNA	hyperoxia	bronchopulmonary dysplasia (BPD)	lung tissues	hyperoxia treatment	downregulated	31961470
6	Rat	chr5:90817794|90827570	circRNA	TGF-¦Â1	epithelial-mesenchymal transition (EMT)	rat coronary artery endothelial cells (CAEC)	TGF-¦Â1 treatment	upregulated	29521313
7	Rat	chr6:22033342|22038870	circRNA	TGF-¦Â1	epithelial-mesenchymal transition (EMT)	rat coronary artery endothelial cells (CAEC)	TGF-¦Â1 treatment	upregulated	29521313
8	Rat	chr8:71336875|71337745	circRNA	hyperoxia	bronchopulmonary dysplasia (BPD)	lung tissues	hyperoxia treatment	downregulated	31961470
9	Rat	chr8:71336875|71337745	circRNA	TGF-¦Â1	epithelial-mesenchymal transition (EMT)	rat coronary artery endothelial cells (CAEC)	TGF-¦Â1 treatment	upregulated	29521313
10	Rat	circANKRD36	circRNA	lipopolysaccharide (LPS)	myocarditis	H9c2 cells	lipopolysaccharide (LPS) treatment	upregulated	31442445
11	Rat	circANXA2	circRNA	hypoxia/reoxygenation (H/R)	myocardial ischemia/reperfusion (I/R) injury (MIRI)	H9c2 cells	hypoxia/reoxygenation (H/R) treatment	The expression of CircANXA2 was upregulated in H/R-treated H9c2 cells.	32685535
12	Rat	circANXA2	circRNA	hypoxia/reoxygenation (H/R)	myocardial ischemia/reperfusion (I/R) injury (MIRI)	H9c2 cells	hypoxia/reoxygenation (H/R) treatment	upregulated	32685535
13	Rat	circBNIP3	circRNA	hypoxia	hypoxia-induced injury	H9c2 cell	hypoxia induce	upregulated	31923741
14	Rat	circCamk4	circRNA	oxygen-glucose deprivation and reoxygenation (OGD/R)	cerebral ischemia/reperfusion (I/R) injury	primary neuronal cells	oxygen-glucose deprivation and reoxygenation (OGD/R) treatment	upregulated	32332879
15	Rat	circCDR1as	circRNA	1-methyl-4-phenylpyridinium (MPP+)	parkinson's disease (PD)	PC12 cells	1-methyl-4-phenylpyridinium (MPP+) treatment	upregulated	32889692
16	Rat	circCDR1as	circRNA	exendin-4 (Ex-4)	parkinson's disease (PD)	1-methyl-4-phenylpyridinium (MPP+)-treated PC12 cells	Exendin-4 (Ex-4)?treatment	downregulated	32889692
17	Rat	circCDR1as	circRNA	exendin-4 (Ex-4)	neuronal cell injury	PC12 cells	Exendin-4 (Ex-4) treatment	Ex-4 downregulated 1-methyl-4 phenyl-pyridine ion (MPP+) -induced CDR1as expression in PC12 cells and upregulated miR-671 expression.	32889692
18	Rat	circDENND2A	circRNA	oxygen glucose deprivation (OGD)	myocardial infarction (MI)	rat H9c2 cells	oxygen glucose deprivation (OGD) treatment	OGD upregulated circDENND2A expression in H9c2 cells	31878833
19	Rat	circDENND2A	circRNA	oxygen glucose deprivation (OGD)	myocardial infarction (MI)	H9c2 cells	oxygen glucose deprivation (OGD) treatment	circDENND2A overexpression enhanced OGD-inhibited cell viability and migration but declined OGD-promoted apoptosis by downregulating miR-34a and via ¦Â-catenin and Ras/Raf/MEK/ERK pathways	31878833
20	Rat	circDENND4C	circRNA	oxygen glucose deprivation (OGD)	ischemic heart disease (IHD)	H9c2 cells	oxygen and glucose deprivation (OGD) treatment	CircRNA-DENND4C was upregulated after OGD/R stimulation	33090893
